breed,breed_size,breed_group,avg_life_span_years,adaptability,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,all_around_friendliness,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,health_and_grooming_needs,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,trainability,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,physical_needs,energy_level,intensity,exercise_needs,potential_for_playfulness,country_origin,height_min,height_max,weight_min,weight_max,life_span_min,life_span_max,avg_height,avg_weight,lat,long
Corman Shepherd,Very Large,Mixed Breed Dogs,12,2.8,2,2,3,3,4,3,4,4,4,4,3,3.4,5,2,3,3,4,3,3.6,4,5,3,3,3,2,3.67,4,3,4,4,United States of America,12,15,20,70,10,15,13.50000729,44.643555,39.7837304,-100.445882
Coton de Tulear,Small,Companion Dogs,14,3.6,5,4,5,1,3,3,5,5,5,5,5,2.4,1,1,2,5,3,1,2.6,3,4,3,1,2,3,2.67,3,2,3,5,Madagascar,8,12,8,13,14,16,10.0000054,10.4278526,-18.9249604,46.4416422
Croatian Sheepdog,Large,Herding Dogs,13,3,3,2,3,3,4,2,3,4,3,2,2,3.4,5,3,2,4,3,3,3.6,3,4,4,3,4,3,4,4,4,4,4,Croatia,16,21,29,45,12,14,18.50000999,36.706923,45.3658443,15.6575209
Curly-Coated Retriever,Very Large,Sporting Dogs,10,2.8,1,3,3,3,4,4,4.67,5,5,4,3,2.6,3,2,3,2,3,3,4.4,4,5,5,5,3,4,4,5,3,4,5,England,23,27,65,100,9,12,25.0000135,81.8354944,52.5310214,-1.2649062
Dachsador,Large,Mixed Breed Dogs,13,2.8,4,2,3,2,3,3,3.67,4,4,3,4,3,2,1,4,4,4,2,3,3,4,2,4,2,4,3.67,4,3,4,4,United States of America,15,25,30,40,12,14,20.0000108,34.722765,39.7837304,-100.445882
Dachshund,Medium,Hound Dogs,14,3.4,5,4,4,3,1,3,4,4,5,3,1,2.8,3,1,3,2,5,1,4,2,4,4,5,5,5,3,3,3,3,4,Germany,8,9,16,32,12,15,8.50000459,23.809896,51.1638175,10.4478313
Dalmatian,Very Large,Companion Dogs,14,3,2,3,4,3,3,4,4.33,5,4,4,3,3.8,5,1,5,4,4,3,2.8,4,4,2,2,2,4,4.67,5,4,5,4,Croatia,19,24,48,55,13,16,21.50001161,51.1030916,45.3658443,15.6575209
Dandie Dinmont Terrier,Medium,Terrier Dogs,14,3.2,4,4,3,2,3,3,4,5,4,3,3,2.6,3,1,2,3,4,1,2.8,2,3,3,4,2,3,2.67,3,3,2,4,Scotland,8,11,18,24,12,15,9.50000513,20.833659,56.7861112,-4.1140518
Daniff,Very Large,Mixed Breed Dogs,10,2.4,2,2,3,1,4,3,4.33,5,4,4,3,2.6,2,4,1,3,3,5,2.6,4,4,2,2,1,2,3.67,3,4,4,4,United States of America,27,33,115,190,8,12,30.0000162,151.2810244,39.7837304,-100.445882
Danish-Swedish Farmdog,Medium,Working Dogs,12,3.2,3,2,3,4,4,4,5,5,5,5,3,3.6,5,1,4,5,3,2,4,5,4,2,5,4,1,4,4,3,5,4,Denmark,12,15,15,20,11,13,13.50000729,17.3724056,55.670249,10.3333283
Deutscher Wachtelhund,Very Large,Sporting Dogs,13,2.8,3,3,2,2,4,3,4.33,5,4,4,3,3,3,2,3,5,2,4,3.6,4,4,3,4,3,2,3.67,4,3,4,4,Germany,18,21,40,55,12,14,19.50001053,47.1347756,51.1638175,10.4478313
Doberdor,Very Large,Mixed Breed Dogs,12,1.8,1,1,3,2,2,4,3,3,3,3,1,3,1,2,4,4,4,5,3.2,1,4,3,4,4,4,4.67,5,4,5,4,United States of America,24,28,60,100,10,14,26.00001404,79.36632,39.7837304,-100.445882
Doberman Pinscher,Very Large,Working Dogs,12,2.8,3,3,5,2,1,4,3,5,3,1,3,3.4,4,4,5,1,3,4,2.8,5,5,2,1,1,2,3,3,3,3,5,Germany,24,28,60,80,10,13,26.00001404,69.44553,51.1638175,10.4478313
Docker,Large,Mixed Breed Dogs,13,2.8,3,2,4,2,3,3,3.67,5,3,3,2,2.8,3,2,3,3,3,2,4.2,3,4,5,5,4,5,3,3,3,3,4,United States of America,9,15,20,30,12,14,12.00000648,24.801975,39.7837304,-100.445882
Dogo Argentino,Very Large,Sporting Dogs,12,1.8,1,1,3,2,2,4,2.67,4,2,2,2,2.6,1,3,4,3,2,4,2.8,2,3,2,5,2,4,4,4,4,4,3,Argentina,23,27,80,100,9,15,25.0000135,89.28711,-34.9964963,-64.9672817
Dogue de Bordeaux,Very Large,Working Dogs,10,3,5,1,4,2,3,2,3.67,5,5,1,1,3.8,3,5,5,2,4,4,3,2,3,4,4,2,1,3,2,2,5,3,France,23,27,99,150,8,12,25.0000135,99.2079,46.603354,1.8883335
Dorgi,Medium,Mixed Breed Dogs,14,3.2,4,4,3,1,4,3,4,4,4,4,3,3.2,2,2,4,4,4,2,3.4,3,4,4,3,3,3,4,4,4,4,5,England,9,12,15,28,12,15,10.50000567,21.3407216,52.5310214,-1.2649062
